VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 5219,  0.53554, -0.02849, -0.15458,  0.11454, -0.66155,  0.73806, -0.68004,  0.48756,  0.54334,  1.00,  0.8151,  0.9767,  0.8151,  0.9767
1, 5220,  0.51619, -0.02717, -0.15211,  0.13768, -0.59495,  0.79124, -0.59199,  0.59063,  0.5474,  1.00,  0.829,  0.992,  0.829,  0.992
2, 5221,  0.53577, -0.03433, -0.16348,  0.05735, -0.83302,  0.54563, -0.69368,  0.35872,  0.6209,  1.00,  0.8042,  0.9843,  0.8042,  0.9843
3, 5222,  0.55802, -0.03026, -0.16,  0.27156, -0.63719,  0.71842, -0.73105,  0.34609,  0.58409,  1.00,  0.8016,  0.9657,  0.8016,  0.9657
4, 5219,  0.53554, -0.02849, -0.15458,  0.11454, -0.66155,  0.73806, -0.68004,  0.48756,  0.54334,  1.00,  0.8151,  0.9767,  0.8151,  0.9767
5, 5221,  0.53577, -0.03433, -0.16348,  0.05735, -0.83302,  0.54563, -0.69368,  0.35872,  0.6209,  1.00,  0.8042,  0.9843,  0.8042,  0.9843
6, 5221,  0.53577, -0.03433, -0.16348,  0.05735, -0.83302,  0.54563, -0.69368,  0.35872,  0.6209,  1.00,  0.8042,  0.9843,  0.8042,  0.9843
7, 5223,  0.56605, -0.03524, -0.16895,  0.16982, -0.74397,  0.64456, -0.85291,  0.21517,  0.47314,  1.00,  0.7885,  0.9683,  0.7885,  0.9683
8, 5222,  0.55802, -0.03026, -0.16,  0.27156, -0.63719,  0.71842, -0.73105,  0.34609,  0.58409,  1.00,  0.8016,  0.9657,  0.8016,  0.9657
9, 5224,  0.56692, -0.01589, -0.1556,  0.15647, -0.31149,  0.93672, -0.90662,  0.32886,  0.2607,  1.00,  0.8048,  0.9421,  0.8048,  0.9421
10, 5222,  0.55802, -0.03026, -0.16,  0.27156, -0.63719,  0.71842, -0.73105,  0.34609,  0.58409,  1.00,  0.8016,  0.9657,  0.8016,  0.9657
11, 5223,  0.56605, -0.03524, -0.16895,  0.16982, -0.74397,  0.64456, -0.85291,  0.21517,  0.47314,  1.00,  0.7885,  0.9683,  0.7885,  0.9683
12, 5224,  0.56692, -0.01589, -0.1556,  0.15647, -0.31149,  0.93672, -0.90662,  0.32886,  0.2607,  1.00,  0.8048,  0.9421,  0.8048,  0.9421
13, 5225,  0.55723, -0.02, -0.15353,  0.27155, -0.24472,  0.92962, -0.80035,  0.47482,  0.35925,  1.00,  0.8124,  0.9544,  0.8124,  0.9544
14, 5222,  0.55802, -0.03026, -0.16,  0.27156, -0.63719,  0.71842, -0.73105,  0.34609,  0.58409,  1.00,  0.8016,  0.9657,  0.8016,  0.9657
