VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 999, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431,  0.94029,  0.34037, -0.00317, -1.00,  0.905,  0.9958,  0.19154,  0.15271
1, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
2, 1000, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629,  0.99727,  0.07337, -0.00798, -1.00,  0.8657,  0.9958,  0.18358,  0.15271
3, 1691, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431, -0.93835, -0.34371, -0.03693, -1.00,  0.0952,  0.9958,  0.02749,  0.15271
4, 1692, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629, -0.99248, -0.08163, -0.09116, -1.00,  0.1345,  0.9958,  0.03545,  0.15271
5, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
6, 999, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431,  0.94029,  0.34037, -0.00317, -1.00,  0.905,  0.9958,  0.19154,  0.15271
7, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
8, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
9, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
10, 1000, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629,  0.99727,  0.07337, -0.00798, -1.00,  0.8657,  0.9958,  0.18358,  0.15271
11, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
12, 1691, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431, -0.93835, -0.34371, -0.03693, -1.00,  0.0952,  0.9958,  0.02749,  0.15271
13, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
14, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
15, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
16, 999, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431,  0.94029,  0.34037, -0.00317, -1.00,  0.905,  0.9958,  0.19154,  0.15271
17, 1003, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.9499,  0.9958,  0.20064,  0.15271
18, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
19, 1695, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.0503,  0.9958,  0.01839,  0.15271
20, 1691, -0.10313, -0.06229,  0.00251,  0.33913, -0.936,  0.09431, -0.93835, -0.34371, -0.03693, -1.00,  0.0952,  0.9958,  0.02749,  0.15271
21, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
22, 987, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901,  0.9707, -0.23969,  0.01681, -1.00,  0.8185,  0.9958,  0.17402,  0.15271
23, 1000, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629,  0.99727,  0.07337, -0.00798, -1.00,  0.8657,  0.9958,  0.18358,  0.15271
24, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
25, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
26, 1692, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629, -0.99248, -0.08163, -0.09116, -1.00,  0.1345,  0.9958,  0.03545,  0.15271
27, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
28, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
29, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
30, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
31, 1692, -0.12705, -0.067,  0.00175,  0.07379, -0.99353,  0.08629, -0.99248, -0.08163, -0.09116, -1.00,  0.1345,  0.9958,  0.03545,  0.15271
32, 1681, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901, -0.96592,  0.23143, -0.11593, -1.00,  0.1817,  0.9958,  0.04501,  0.15271
33, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
34, 1003, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.9499,  0.9958,  0.20064,  0.15271
35, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
36, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
37, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
38, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
39, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
40, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
41, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
42, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
